input,output
त्यसलाई पनि रद्‍द गरेँ।,त्यस्‌लाई पनि रद्‍द गरेँ।
"अब दिमागमा एउटै उपाय सुइयो, अन्तिम उपाया-पञ्‍च बसाउने।","अब दिमाग्‌मा एउटै उपाय् सुइयो, अन्तिम् उपाया-पञ्‍च बसाउने।"
तर फेरि अर्को डर भयो।,तर फेरि अर्को डर् भयो।
बन्दकोपीको खेती विभिन्न थरीका माटामा गर्न सकिन्छ ।,बन्दकोपीको खेती विभिन्न थरीका माटामा गर्न सकिन्छ ।
पर्‍यो फसाद।,पर्‍यो फसाद्।
चिन्तनशील बाङ्‍गेको चिन्तनकै हङ्‍याङ मस्काउने चिन्ता चाकको पिलो जस्तै बन्यो।,चिन्तन्‌शील् बाङ्‍गेको चिन्तन्‌कै हङ्‍याङ् मस्काउने चिन्ता चाक्‌को पिलो जस्तै बन्यो।
"तर दैवले यसपालि उसलाई दया गर्‍यो, चिन्ताको पिलो फोर्ने अपजसे छ्याङ्‍ग देखियो।","तर दैवले यस्‌पालि उस्‌लाई दया गर्‍यो, चिन्ताको पिलो फोर्ने अप्‌जसे छ्याङ्‍ग देखियो।"
मर्का थारै रहेछ।,मर्का थारै रहेछ।
के गरूँ भनेर सोधेँ।,के गरूँ भनेर सोधेँ।
नसुर्ताऊ।,नसुर्ताऊ।
उपाय छ।,उपाय् छ।
अपजसेले पजिटिभ सेन्समै कुरा बढायो।,अप्‌जसेले पजिटिभ् सेन्स्‌मै कुरा बढायो।
खै के उपाय र?,खै के उपाय् र?
मैले तैपनि झिँजो लाग्दो पाराको प्रश्‍न गरेँ।,मैले तैपनि झिँजो लाग्दो पाराको प्रश्‍न गरेँ।
एक काम गर।,एक् काम् गर।
"श्रीमती, छोरा, सालो-साली, सासु-ससुरा भए जति कराक्-कुरुक् भेला गराऊ।","श्रीमती, छोरा, सालो-साली, सासु-ससुरा भए जति कराक्-कुरुक् भेला गराऊ।"
म पनि आइदिउँला।,म पनि आइदिउँला।
ड्याङ बनाउँदा माटो मसिनो गरी फुटाएर ड्याङ उठाई सम्म पार्नुपर्छ।,ड्याङ् बनाउँदा माटो मसिनो गरी फुटाएर ड्याङ् उठाई सम्म पार्नुपर्छ।
मिडियाको खेर हेर न मिडियाको।,मिडियाको खेर् हेर न मिडियाको।
मिडियालाई प्रयोग नगरी कहाँ हुन्छ?,मिडियालाई प्रयोग् नगरी कहाँ हुन्छ?
आखिर म भूतपूर्व सोसल वर्कर पनि त हूँ।,आखिर म भूतपूर्व सोसल वर्कर् पनि त हूँ।
यो हप्ताको सोझो- बाङ्‍गो के लेखुँ भनेर सोच्दै थिएँ।,यो हप्ताको सोझो- बाङ्‍गो के लेखुँ भनेर सोच्दै थिएँ।
हठात् भङ्‍गेरीले सुनचरीलाई लेखेकी चिट्‍ठी हात पर्‍यो।,हठात् भङ्‍गेरीले सुन्‌चरीलाई लेखेकी चिट्‍ठी हात् पर्‍यो।
यसरी एकजना अपरिचित बैनीले चिट्‍ठी पठाएकोमा तपाईँ रोमाञ्‍चित त अवश्यै हुनुहुन्छ होला।,यसरी एक्‌जना अपरिचित् बैनीले चिट्‍ठी पठाएकोमा तपाईँ रोमाञ्‍चित् त अवश्यै हुनुहुन्छ होला।
तर तपाईँ पत्रकार!,तर तपाईँ पत्रकार्!
पत्रकारहरू बेसी ‘डिप्लोम्याटिक’ हुन्छन् भनेको सुनेकी छु।,पत्रकार्‌हरू बेसी ‘डिप्लोम्याटिक्’ हुन्छन् भनेको सुनेकी छु।
हुनलाई त तपाईँ सम्पादक-पत्रकारहरू बढी ‘व्याकरण’ खोज्नु हुन्छ।,हुनलाई त तपाईँ सम्पादक्-पत्रकार्‌हरू बढी ‘व्याक्‌रण्’ खोज्नु हुन्छ।
त्यसैले आफ्नो विगत खोतल्देलान् भन्‍ने कुराको डर पनि छँदैछ।,त्यसैले आफ्नो विगत् खोतल्देलान् भन्‍ने कुराको डर् पनि छँदैछ।
तर मैले भने चिट्‍ठी धरि व्याकरणको जस्तै नियम संगत ढङ्‍गले लेख्न सकिनँ।,तर मैले भने चिट्‍ठी धरि व्याक्‌रण्‌को जस्तै नियम् संगत् ढङ्‍गले लेख्न सकिनँ।
पशुले त यस्तो माया गर्छ छोरा छोरीलाई। ,पशुले त यस्तो माया गर्छ छोरा छोरीलाई। 
झन् हामीलाई आमाले कति माया गरेर हुर्काएकी होलिन्। ,झन् हामीलाई आमाले कति माया गरेर हुर्काएकी होलिन्। 
"अब हामीले चाहिँ आमालाई माया, श्रद्धा गर्नु पर्छ है।","अब हामीले चाहिँ आमालाई माया, श्रद्धा गर्नु पर्छ है।"
कुकुर र मजुरले हेरन ऐना हेरको।,कुकुर् र मजुर्‌ले हेरन ऐना हेरको।
त्यसले चाहिँ कसरी जानेको होला हगि।,त्यस्‌ले चाहिँ कसरी जानेको होला हगि।
कुनै समयमा एक ठाउँमा घनघोर जङ्‌गल थियो।,कुनै समय्‌मा एक् ठाउँमा घन्‌घोर् जङ्‌गल् थियो।
त्यही जङ्‌गलमा थुप्रै जीव- जन्तु पशु –पक्षी पाइन्थे।,त्यही जङ्‌गल्‌मा थुप्रै जीव्- जन्तु पशु –पक्षी पाइन्थे।
वातावरण रमणीय थियो।,वातावरण् रमणीय थियो।
त्यहाँ जङ्‌गलको छेउमा एउटा ठूलो रुख थियो।,त्यहाँ जङ्‌गल्‌ को छेउमा एउटा ठूलो रुख् थियो।
त्यो रुखले धेरैलाई सहारा दिएको थियो।,त्यो रुख्‌ले धेरैलाई सहारा दिएको थियो।
बटुवाहरू त्यही रुखलाई आराम स्थल बनाउँथे।,बटुवाहरू त्यही रुख्‌लाई आराम् स्थल् बनाउँथे।
त्यही रुखमा थुप्रै बकुल्‍लाले गुँड लगाएर बसेका थिए।,त्यही रुख्‌मा थुप्रै बकुल्‍लाले गुँड् लगाएर बसेका थिए।
बकुल्‍ला लगायत अरू थुप्रै चरा त्यस  रुखको सहारामा रमाएका थिए।,बकुल्‍ला लगायत् अरू थुप्रै चरा त्यस्  रुख्‌को सहारामा रमाएका थिए।
त्यस रुखको टोडकामा एउटा सर्प बस्दथ्यो।,त्यस् रुख्‌को टोड्‌कामा एउटा सर्प बस्दथ्यो।
चराहरू दिन भरि आहार खोज्न जान्थे।,चराहरू दिन् भरि आहार् खोज्न जान्थे।
समय समय मा नचाहिँदो झार उखेलेर गोड्दै गर्नुपर्छ ।,समय् समय् मा नचाहिँदो झार् उखेलेर गोड्दै गर्नुपर्छ ।
सर्पले बच्‍चा खाइ दिएकोमा चराहरू निकै  दुखी थिए।,सर्पले बच्‍चा खाइ दिएकोमा चराहरू निकै  दुखी थिए।
एक दिन सबै चराहरू छलफल गर्नका लागि भेला भए।,एक् दिन् सबै चराहरू छल्‌फल् गर्नका लागि भेला भए।
सबैका अनुहार निन्याउरा थिए।,सबैका अनुहार् निन्याउरा थिए।
"ती चरा मध्ये बुढो बकुल्‍लाले भन्यो, हाम्रा बचेरा सर्पले खाइ दिन्छ।","ती चरा मध्ये बुढो बकुल्‍लाले भन्यो, हाम्रा बचेरा सर्पले खाइ दिन्छ।"
केही उपाय नसोची भएन ।,केही उपाय् नसोची भएन ।
ठूलो बकुल्‍लाको कुरा सुनेर सेतो धनेसले भन्यो।,ठूलो बकुल्‍लाको कुरा सुनेर सेतो धनेस्‌ले भन्यो।
हामीले सर्पलाई मार्न सक्दैनौँ।,हामीले सर्पलाई मार्न सक्दैनौँ।
बरू हामी नै यो ठाउँ छोडेर जाउँ।,बरू हामी नै यो ठाउँ छोडेर जाउँ।
त्यो सुन्‍ने बित्तिकै बूढी बुकल्‍लाले भनी।,त्यो सुन्‍ने बित्तिकै बूढी बुकल्‍लाले भनी।
बर्षौं बिति सक्यो यही रुखमा बसेको।,बर्षौं बिति सक्यो यही रुख्‌मा बसेको।
यो रुखलाई छोडेर जाने त कुरै आउँदैन बरू त्यस दुष्ट सर्पलाई मार्ने उपाय रचन ।,यो रुख्‌लाई छोडेर जाने त कुरै आउँदैन बरू त्यस् दुष्ट सर्पलाई मार्ने उपाय् रच्‌न ।
बूढीको कुरामा सबै सहमत भएर सर्पको विध्वंश गर्ने उपाय सोच्न थाले।,बूढीको कुरामा सबै सहमत् भएर सर्पको विध्वंश् गर्ने उपाय् सोच्न थाले।
न्याउरी मुसाले सर्प खान्छ।,न्याउरी मुसाले सर्प खान्छ।
न्याउरी मुसा उ त्यही गुँडमा बस्छ।,न्याउरी मुसा उ त्यही गुँड्‌मा बस्छ।
हामी त्यसलाई सर्प भएको ठाउँसम्म पुर्‍याउँ न।,हामी त्यस्‌लाई सर्प भएको ठाउँसम्म पुर्‍याउँ न।
सानो बकुल्‍लाको कुरा सुनी पोथी बकुल्‍लाले भनी।,सानो बकुल्‍लाको कुरा सुनी पोथी बकुल्‍लाले भनी।
न्याउरी मुसा त मांसाहारी प्राणी हो।,न्याउरी मुसा त मांसाहारी प्राणी हो।
अन्त्यमा रुखको टोडकासम्म माछा  राखे।,अन्त्यमा रुख्‌को टोड्‌कासम्म माछा  राखे।
उता न्याउरी मुसाले माछा देख्यो र माछा खाँदै गयो।,उता न्याउरी मुसाले माछा देख्यो र माछा खाँदै गयो।
अन्त्यमा उ टोडकासम्ममा पुग्यो र सर्पलाई पनि खायो।,अन्त्यमा उ टोड्‌कासम्ममा पुग्यो र सर्पलाई पनि खायो।
एउटा बकुल्‍लाले चियाएर हेरिरहेको थियो ।,एउटा बकुल्‍लाले चियाएर हेरिरहेको थियो ।
त्यो बकुल्‍लाले त्यस रुखका सम्पूर्ण पक्षीलाई त्यो खबर सुनाइदियो।,त्यो बकुल्‍लाले त्यस् रुख्‌का सम्पूर्ण पक्षीलाई त्यो खबर् सुनाइदियो।
सबै चराहरू नाच्न थाले।,सबै चराहरू नाच्न थाले।
न्याउरी मुसा सिधै रुख माथि चढ्‌यो।,न्याउरी मुसा सिधै रुख् माथि चढ्‌यो।
सबै चल्‍लाहरू खाँदै गयो।,सबै चल्‍लाहरू खाँदै गयो।
यो कुरा अरू चराहरूलाई थाहा थिएन।,यो कुरा अरू चराहरूलाई थाहा थिएन।
उनीहरू नाच्नमा नै मस्त थिए।,उनीहरू नाच्नमा नै मस्त थिए।
न्याउरी मुसा-माथि माथि पुग्यो अन्त्यमा नाचिरहेको एउटा बकुल्‍लालाई उसले समात्न सक्यो।,न्याउरी मुसा-माथि माथि पुग्यो अन्त्यमा नाचिरहेको एउटा बकुल्‍लालाई उस्‌ले समात्न सक्यो।
त्यो देखेर सबै चराहरू दुखी भए।,त्यो देखेर सबै चराहरू दुखी भए।
अर्काको दुखमा कहिल्यै हाँस्नु हुँदैन।,अर्काको दुखमा कहिल्यै हाँस्नु हुँदैन।
चाहे शत्रु नै किन नहोस्।,चाहे शत्रु नै किन नहोस्।
चल्‍ला खाँदा सधैँ सर्प खुशी हुन्थ्यो।,चल्‍ला खाँदा सधैँ सर्प खुशी हुन्थ्यो।
त्यसकारण उसको मृत्यु भयो।,त्यस्‌कारण् उस्‌को मृत्यु भयो।
सर्प मर्दा सारा चराहरू खुशी थिए।,सर्प मर्दा सारा चराहरू खुशी थिए।
त्यस कारण उनीहरूका चल्‍ला र एउटा बकुल्‍ला पनि मर्‍यो।,त्यस् कारण् उनीहरूका चल्‍ला र एउटा बकुल्‍ला पनि मर्‍यो।
शिक्षक दिवस।,शिक्षक् दिवस्।
पाँच सितम्बर शिक्षक दिवस हो भन्‍ने कुरा सबै भारतीयलाई विदित भएको कुरा हो।,पाँच् सितम्बर् शिक्षक् दिवस् हो भन्‍ने कुरा सबै भारतीयलाई विदित् भएको कुरा हो।
यस दिन हामी सर्वपल्‍ली राधाकृष्णको जन्मोत्सवमा शिक्षक दिवस मनाउने गर्छौं।,यस् दिन् हामी सर्वपल्‍ली राधाकृष्ण्‌को जन्मोत्सवमा शिक्षक् दिवस् मनाउने गर्छौं।
सर्वपल्‍ली राधाकृष्णन एक दार्शनिक थिए अनि असल शिक्षक ।,सर्वपल्‍ली राधाकृष्णन् एक् दार्शनिक् थिए अनि असल् शिक्षक् ।
उनको त्यो वचन उनी यस संसारमा नभए तापनि परम्पराको रूपमा जीवित भएर रहेको छ।,उन्‌को त्यो वचन् उनी यस् संसार्‌मा नभए तापनि परम्पराको रूप्‌मा जीवित् भएर रहेको छ।
राधाकृष्णन अनुसार शिक्षक भन्‍ने बित्तिकै देशको कुशल दिमागदायी व्यक्‍ति हुँदछ।,राधाकृष्णन् अनुसार् शिक्षक् भन्‍ने बित्तिकै देश्‌को कुशल् दिमाग्‌दायी व्यक्‍ति हुँदछ।
कुनै पनि विद्यार्थीले शिक्षकलाई दिएको धन्यवाद अपूर्ण हुन्छ।,कुनै पनि विद्यार्थीले शिक्षक्‌लाई दिएको धन्यवाद् अपूर्ण हुन्छ।
भन्‍नुको तात्पर्य विद्यार्थी शिक्षकको सदा  सवर्दा ऋणी हुन्छ।,भन्‍नुको तात्पर्य विद्यार्थी शिक्षक्‌को सदा  सवर्दा ऋणी हुन्छ।
हाम्रो राष्ट्र भारतमा मनाइने शिक्षक दिवसको महत्त्व ठुलो छ।,हाम्रो राष्ट्र भारत्‌मा मनाइने शिक्षक् दिवस्‌को महत्त्व ठुलो छ।
यसै वर्षदेखि शिक्षक दिवस मनाउँदै ल्याएको इतिहास हामी समक्ष जीवित छ।,यसै वर्षदेखि शिक्षक् दिवस् मनाउँदै ल्याएको इतिहास् हामी समक्ष जीवित् छ।
पाँच सेप्टेम्बर हाम्रो निम्ति छुट्‍टीको दिन नभएर एउटा महत्त्वपूर्ण अनुष्ठान हो भन्‍ने कुरालाई मनमा राखिरहनु पर्ने देखिन्छ।,पाँच सेप्टेम्बर हाम्रो निम्ति छुट्‍टीको दिन नभएर एउटा महत्त्वपूर्ण अनुष्ठान हो भन्‍ने कुरालाई मनमा राखिरहनु पर्ने देखिन्छ।
गुरुलाई हामीले ईश्‍वर सम्झनु पर्छ।,गुरुलाई हामीले ईश्‍वर् सम्झनु पर्छ।
सिक्‍किमेली भेकमा बाल साहित्यमाथि कलम चलेको कमै मात्रामा पाइन्छ।,सिक्‍कि्‌मेली भेक्‌मा बाल् साहित्यमाथि कलम् चलेको कमै मात्रामा पाइन्छ।
चाहे मौलिक रचनाको कुरा गरौं वा फेरि सम्पादित बाल- पत्रपत्रिकाकै कुरा।,चाहे मौलिक् रचनाको कुरा गरौं वा फेरि सम्पादित् बाल्- पत्रपत्रिकाकै कुरा।
हाम्रो समाजलाई दिइसक्नु भएको छ।,हाम्रो समाज्‌लाई दिइसक्नु भएको छ।
हामीले पो नदेखेका रहेछौं।,हामीले पो नदेखेका रहेछौं।
प्रकाशकसम्म पो नपुगेको रहेछ।,प्रकाशक्‌सम्म पो नपुगेको रहेछ।
यस भन्दा अधि अन्य एकल बाल वृत्ति देखाएको जस्तो लागेको छैन।,यस् भन्दा अधि अन्य एकल् बाल् वृत्ति देखाएको जस्तो लागेको छैन।
घर फर्किने बाटो नभुलुन् तपाईँका नानीहरूले त्यसरी समयमै कराउँदै गर्नोस्।,घर् फर्किने बाटो नभुलुन् तपाईँका नानीहरूले त्यसरी समय्‌मै कराउँदै गर्नोस्।
यही चित्कार हो उनको इन्द्रेणीको।,यही चित्कार् हो उन्‌को इन्द्रेणीको।
यदि तपाईँले यो कदम चाल्न थालिसक्नु भएको छ भने आफैमा गर्व मान्‍न सक्नु हुने छ।।,यदि तपाईँले यो कदम् चाल्न थालिसक्नु भएको छ भने आफैमा गर्व मान्‍न सक्नु हुने छ।।
यस्ता मिठा मिठा तथा ज्ञानवर्द्धक कविताहरूको आज खाँचो छ हाम्रा नानीहरूलाई।,यस्ता मिठा मिठा तथा ज्ञानवर्द्धक् कविताहरूको आज खाँचो छ हाम्रा नानीहरूलाई।
इन्दिरा गान्धी एउटी सक्षम नेत्री थिइन्।,इन्दिरा गान्धी एउटी सक्षम् नेत्री थिइन्।
यसका निम्ति उनले नानीहरू पनि लिएर वानर सेना पति गठन गरेकी थिइन्।,यस्‌का निम्ति उनले नानीहरू पनि लिएर वानर् सेना पति गठन् गरेकी थिइन्।
यस पछि प्रधानमन्त्री पद्‌मा लडाइँमा इन्दिरा गान्धीका अघि मोरारजी देसाई आए।,यस् पछि प्रधान्‌मन्त्री पद्‌मा लडाइँमा इन्दिरा गान्धीका अघि मोरार्‌जी देसाई आए।
बोलीको कदर हुने छ।,बोलीको कदर् हुने छ।
दान पुण्य र परोपकारी कार्य गर्ने अवसर प्राप्त हुने छ।,दान् पुण्य र परोप्‌कारी कार्य गर्ने अवसर् प्राप्त हुने छ।
सबैबाट पुज्य भइने छ।,सबैबाट पुज्य भइने छ।
साहस बढेर जाने छ।,साहस् बढेर जाने छ।
सुन्दर बन्‍न मन लाग्ने छ।,सुन्दर् बन्‍न मन् लाग्ने छ।
विद्यालयमा प्रगति हुने छ।,विद्यालय्‌मा प्रगति हुने छ।
सन्तान सुख प्राप्त हुने छ।,सन्तान् सुख् प्राप्त हुने छ।
बिध्न बाधा र सङ्‌कटको सामना सजिलैसँग गर्न सकिने छ।,बिध्न् बाधा र सङ्‌कट्‌को साम्‌ना सजिलैसँग गर्न सकिने छ।
पराक्रम देखेर शत्रु भयभित हुने छन्।,पराक्रम् देखेर शत्रु भय्‌भित् हुने छन्।
धनको संरक्षण हुने छ।,धन्‌को संरक्षण् हुने छ।
पति- पत्नीमा माधुर्य छाउने छ।,पति- पत्नीमा माधुर्य छाउने छ।
मिष्ठान्‍न भोजनको अवसर प्राप्त हुने छ।,मिष्ठान्‍न भोजन्‌को अवसर् प्राप्त हुने छ।
अनेक प्रकारबाट लाभ हुने छ।,अनेक् प्रकार्‌बाट लाभ् हुने छ।
रोकिएका कार्य सुरु हुने छन्।,रोकिएका कार्य सुरु हुने छन्।
ऋणबाट मुक्‍ति पाइएला ।,ऋण्‌बाट मुक्‍ति पाइएला ।
ब्राह्मण र पुज्यजनको सेवा गर्ने अवसरमा पाइएला।,ब्राह्मण् र पुज्यजन्‌को सेवा गर्ने अवसर्‌मा पाइएला।
पिताको सहयोग प्राप्त हुनुका साथै पैतृक सम्पत्ति हातपर्ने छ।,पिताको सहयोग् प्राप्त हुनुका साथै पैतृक् सम्पत्ति हात्‌पर्ने छ।
पुजनीय भइने छ।,पुजनीय भइने छ।
असल-खराबको विवेक पुर्‍याएर कार्य गर्नु पर्ने छ।,असल्-खराब्‌को विवेक् पुर्‍याएर कार्य गर्नु पर्ने छ।
"तीर्थ, दान, पुण्य र परोपकारी कार्य गर्ने तर्फ मन जाने छ।","तीर्थ, दान्, पुण्य र परोप्‌कारी कार्य गर्ने तर्फ मन् जाने छ।"
मनमा धार्मिक विचार बढ्ने छ।,मन्‌मा धार्मिक् विचार् बढ्ने छ।
प्रतापवान् भइने छ।,प्रताप्‌वान् भइने छ।
पराक्रम बढेर जाने छ।,पराक्रम् बढेर जाने छ।
सरकारी कार्यबाट धन लाभ प्राप्त हुने छ।,सर्‌कारी कार्यबाट धन् लाभ् प्राप्त हुने छ।
विद्यामा मध्यम समय छ।,विद्यामा मध्यम् समय् छ।
अनेक प्रकारको कार्य गर्ने अवसर मिल्ने छ।,अनेक् प्रकार्‌को कार्य गर्ने अवसर् मिल्ने छ।
धन लाभ हुने छ।,धन् लाभ् हुने छ।
कुनै वर्गबाट भरपुर सहयोगको अपेक्षा राख्न सकिन्छ।,कुनै वर्गबाट भर्‌पुर् सहयोग्‌को अपेक्षा राख्न सकिन्छ।
अनेक प्रकारको युक्‍तिबाट शत्रुलाई वशमा पार्न समर्थ भइने छ।,अनेक् प्रकार्‌को युक्‍तिबाट शत्रुलाई वश्‌मा पार्न समर्थ भइने छ।
पुरुषार्थले धन जम्मा गर्ने अवसर मिल्ने छ तर अचाहिँदो खर्च पनि बढेर जाने छ।,पुरुषार्थले धन् जम्मा गर्ने अवसर् मिल्ने छ तर अचाहिँदो खर्च पनि बढेर जाने छ।
दिनको उत्तरार्द्ध अति उत्तम देखिन्छ।,दिन्‌को उत्तरार्द्ध अति उत्तम् देखिन्छ।
बुद्धि बढेर जाने छ।,बुद्धि बढेर जाने छ।
"पुराना मित्रहरूसँग भेट हुने छ, नयाँ मित्रहरू पनि बनिने छन् तर सतर्क रहन आवश्यक छ।","पुराना मित्रहरूसँग भेट हुने छ, नयाँ मित्रहरू पनि बनिने छन् तर सतर्क रहन आवश्यक् छ।"
लेखन कार्यमा सुधार हुने छ।,लेखन् कार्यमा सुधार् हुने छ।
सरकारी काममा सफलता।,सर्‌कारी काम्‌मा सफल्‌ता।
परिश्रम सफलताको कुञ्‍जी बन्‍न सक्छ।,परिश्रम् सफल्‌ताको कुञ्‍जी बन्‍न सक्छ।
संन्यासीको जस्तो विचार आउने छ।,संन्यासीको जस्तो विचार्‌ आउने छ।
भाइको सहयोग प्राप्त हुने छ।,भाइको सहयोग् प्राप्त हुने छ।
आदरणीय र श्रेद्वेयहरूको आज्ञाको पालन गर्न मन लाग्ने छ।,आदर्‌णीय र श्रेद्वेयहरूको आज्ञाको पालन् गर्न मन् लाग्ने छ।
माता-पितालाई कतै घुमाउन लैजाने मन बन्‍न सक्छ।,माता-पितालाई कतै घुमाउन लैजाने मन् बन्‍न सक्छ।
त्यस पछि मार्क्सवाद सर्वहारा श्रमजीवी वर्गको मुक्‍ति सैद्धान्तिक अस्त्र बन्यो।,त्यस् पछि मार्क्स्‌वाद् सर्वहारा श्रम्‌जीवी वर्गको मुक्‍ति सैद्धान्तिक् अस्त्र बन्यो।
मार्क्सवादको सान्दर्भिकता अहिले झनै बढेर गएको छ।,मार्क्स्‌वाद्‌को सान्दर्भिक्‌ता अहिले झनै बढेर गएको छ।
मानव जातिको उत्पत्ति भएको लाखौं वर्ष भइसक्यो।,मानव जातिको उत्पत्ति भएको लाखौं वर्ष भइसक्यो।
हजारौं वर्षमा नापिने मानव जातिको इतिहास लागि यो धेरै लामो अवधि भएका छन्।,हजारौं वर्षमा नापिने मानव् जातिको इतिहास् लागि यो धेरै लामो अवधि भएका छन्।
महान् क्रान्तिहरू सम्पन्‍न भएका छन्।,महान् क्रान्तिहरू सम्पन्‍न भएका छन्।
मानव जातिले महान् सभ्यता र संस्कृतिको निर्माण गरिसकेको छ।,मानव् जातिले महान् सभ्यता र संस्कृतिको निर्माण् गरिसकेको छ।
मानव जातिले यसै बिच विज्ञान र प्रगतिको क्षेत्रमा समेत आफ्नो पाइला टेकिसकेको छ।,मानव् जातिले यसै बिच विज्ञान् र प्रगतिको क्षेत्रमा समेत् आफ्नो पाइला टेकिसकेको छ।
आज मार्क्सवादी सिद्धान्त र विचारले संसार भरिका जनताको मन मस्तिष्कमा घर बनाइसकेको छ।,आज मार्क्स्‌वादी सिद्धान्त र विचार्‌ले संसार् भरिका जन्‌ताको मन् मस्तिष्क्‌मा घर् बनाइसकेको छ।
मार्क्सवादले पुँजीपतिवर्गको राज्य व्यवस्था स्थापना गर्ने सही क्रान्तिकारी बाटो देखाउँछ।,मार्क्स्‌वाद्‌ले पुँजीपतिवर्गको राज्य व्यवस्था स्थापना गर्ने सही क्रान्तिकारी बाटो देखाउँछ।
मार्क्सवाद एक वैज्ञानिक सिद्धान्त हो।,मार्क्स्‌वाद् एक् वैज्ञानिक् सिद्धान्त हो। 
मार्क्सवाद सर्वहारा श्रमजीवीवर्गको मुक्‍तिको सिद्धान्त हो।,मार्क्स्‌वाद् सर्वहारा श्रम्‌जीवीवर्गको मुक्‍तिको सिद्धान्त हो।
पार्टी स्थापनाको सुरुवात गरे।,पार्टी स्थापनाको सुरुवात् गरे।
लेनिनले पुँजीवादको चरम विकास भनेको साम्राज्यवाद हो।,लेनिन्‌ले पुँजीवाद्‌को चरम् विकास् भनेको साम्राज्यवाद् हो।
एउटै मुलुकमा पनि समाजवादी क्रान्ति सम्पन्‍न गर्न सकिन्छ।,एउटै मुलुक्‌मा पनि समाज्‌वादी क्रान्ति सम्पन्‍न गर्न सकिन्छ।
यसलाई  लेनिनवाद भनिन्छ।,यस्‌लाई  लेनिन्‌वाद् भनिन्छ।
सोभियत सङ्‌घको पतन पछि विश्‍व कम्युनिस्ट आन्दोलन रक्षात्मक स्थितिमा पुगेको छ।,सोभियत् सङ्‌घ्‌को पतन् पछि विश्‍व कम्युनिस्ट् आन्दोलन् रक्षात्मक् स्थितिमा पुगेको छ।
आजको युग साम्राज्यवाद र सर्वहारा वर्ग बिचको भीषण सङ्‌घर्षको युग हो।,आजको युग् साम्राज्यवाद् र सर्वहारा वर्ग बिच्‌को भीषण् सङ्‌घर्षको युग् हो।
घरको सम्पूर्ण साफ सफाइमा बाथरूम प्रति पनि विशेष ध्यान दिनु पर्छ।,घर्‌को सम्पूर्ण साफ् सफाइमा बाथ्‌रूम् प्रति पनि विशेष् ध्यान् दिनु पर्छ।
बाथरूमको उपयोग सबैले गर्नु पर्ने हुन्छ।,बाथ्‌रूम्‌को उपयोग् सबैले गर्नु पर्ने हुन्छ।
यसको सफाइमा ध्यान पुगेन भने कतिपय रोगहरू लाग्ने आशंका पनि हुन्छ।,यस्‌को सफाइमा ध्यान् पुगेन भने कतिपय् रोग्‌हरू लाग्ने आशंका पनि हुन्छ।
"घर वरिपरिका सबै वातावरण शुद्ध, बाथरूम चाहिँ गन्हाउने छ भने त्यो घरलाई सफा मानिँदैन।","घर् वरिपरिका सबै वातावरण् शुद्ध, बाथ्‌रूम् चाहिँ गन्हाउने छ भने त्यो घर्‌लाई सफा मानिँदैन।"
घरका अरू कोठातिर जतिको ध्यान पुर्‍याइन्छ बाथरूममा पनि त्यसरी नै घ्यान दिनु पर्ने कुरा सत्य हो।,घर्‌का अरू कोठातिर जतिको ध्यान् पुर्‍याइन्छ बाथ्‌रूम्‌मा पनि त्यसरी नै घ्यान् दिनु पर्ने कुरा सत्य हो।
मार्बलको प्रयोग गरेर बाथरूम चमकदारी बनाएर मात्र हुँदैन।,मार्बल्‌को प्रयोग् गरेर बाथ्‌रूम् चमक्‌दारी बनाएर मात्र हुँदैन।
यसको सफाइमा पनि ठुलो ध्यान पुर्‍याउनु पर्छ।,यस्‌को सफाइमा पनि ठुलो ध्यान् पुर्‍याउनु पर्छ।
"बाथरूम घरको एउटा यस्तो हिस्सा हो, जसको उपयोग परिवारका सबै सदस्यले गर्छन्।","बाथ्‌रूम् घर्‌को एउटा यस्तो हिस्सा हो, जस्‌को उपयोग् परिवार्‌का सबै सदस्यले गर्छन्।"
यसै कारण रोगाणुयुक्‍त बाथरूमले घर परिवारमा विभिन्‍न प्रकारका बिमार फैलाउन सक्छ।,यसै कारण् रोगाणुयुक्‍त बाथ्‌रूम्‌ले घर् परिवार्‌मा विभिन्‍न प्रकार्‌का बिमार् फैलाउन सक्छ।
यसरी बाथरूमद्वारा फैलिने बिमारबाट टाढा रहन विभिन्‍न उपायहरू अपनाउन सकिन्छ।,यसरी बाथ्‌रूम्‌द्वारा फैलिने बिमार्‌बाट टाढा रहन विभिन्‍न उपाय्‌हरू अप्‌नाउन सकिन्छ।
हात सफा गरेर धुने गर्नु पर्छ।,हात् सफा गरेर धुने गर्नु पर्छ।
शौचालय गएर निस्के पछि हात साबुन लगाएर सफासित धुनु पर्छ।,शौचालय् गएर निस्के पछि हात् साबुन् लगाएर सफासित धुनु पर्छ।
यो कुरामा हामीले कहिल्यै अल्छी गर्नु हुँदैन।,यो कुरामा हामीले कहिल्यै अल्छी गर्नु हुँदैन।
अल्छी गर्‍यौं भने त्यसको हानी आफैले भोग्नु पर्छ।,अल्छी गर्‍यौं भने त्यस्‌को हानी आफैले भोग्नु पर्छ।
